maneuver_id,scene_key,split
MAN_0001,training_tfexample.tfrecord-00000-of-01000#12,train
MAN_0002,training_tfexample.tfrecord-00000-of-01000#18,train
MAN_0003,training_tfexample.tfrecord-00000-of-01000#20,train
MAN_0004,training_tfexample.tfrecord-00000-of-01000#40,train
MAN_0005,training_tfexample.tfrecord-00000-of-01000#44,train
MAN_0006,training_tfexample.tfrecord-00000-of-01000#62,train
MAN_0007,training_tfexample.tfrecord-00000-of-01000#99,train
MAN_0008,training_tfexample.tfrecord-00000-of-01000#103,validation
MAN_0009,training_tfexample.tfrecord-00000-of-01000#119,validation
MAN_0010,training_tfexample.tfrecord-00000-of-01000#132,train
MAN_0011,training_tfexample.tfrecord-00000-of-01000#147,validation
MAN_0012,training_tfexample.tfrecord-00000-of-01000#169,validation
MAN_0013,training_tfexample.tfrecord-00000-of-01000#215,train
MAN_0014,training_tfexample.tfrecord-00000-of-01000#290,validation
MAN_0015,training_tfexample.tfrecord-00000-of-01000#391,train
MAN_0016,training_tfexample.tfrecord-00001-of-01000#34,train
MAN_0017,training_tfexample.tfrecord-00001-of-01000#80,validation
MAN_0018,training_tfexample.tfrecord-00001-of-01000#82,train
MAN_0019,training_tfexample.tfrecord-00001-of-01000#124,validation
MAN_0020,training_tfexample.tfrecord-00001-of-01000#193,train
MAN_0021,training_tfexample.tfrecord-00001-of-01000#214,validation
MAN_0022,training_tfexample.tfrecord-00001-of-01000#288,train
MAN_0023,training_tfexample.tfrecord-00001-of-01000#344,train
MAN_0024,training_tfexample.tfrecord-00001-of-01000#346,validation
MAN_0025,training_tfexample.tfrecord-00001-of-01000#357,train
MAN_0026,training_tfexample.tfrecord-00002-of-01000#22,train
MAN_0027,training_tfexample.tfrecord-00002-of-01000#70,validation
MAN_0028,training_tfexample.tfrecord-00002-of-01000#146,train
MAN_0029,training_tfexample.tfrecord-00002-of-01000#182,validation
MAN_0030,training_tfexample.tfrecord-00002-of-01000#285,validation
MAN_0031,training_tfexample.tfrecord-00002-of-01000#302,validation
MAN_0032,training_tfexample.tfrecord-00002-of-01000#308,validation
MAN_0033,training_tfexample.tfrecord-00002-of-01000#359,train
MAN_0034,training_tfexample.tfrecord-00002-of-01000#380,validation
MAN_0035,training_tfexample.tfrecord-00002-of-01000#479,train
MAN_0036,training_tfexample.tfrecord-00002-of-01000#499,train
MAN_0037,training_tfexample.tfrecord-00003-of-01000#86,train
MAN_0038,training_tfexample.tfrecord-00003-of-01000#120,train
MAN_0039,training_tfexample.tfrecord-00003-of-01000#124,validation
MAN_0040,training_tfexample.tfrecord-00003-of-01000#124,validation
MAN_0041,training_tfexample.tfrecord-00003-of-01000#216,validation
MAN_0042,training_tfexample.tfrecord-00003-of-01000#227,train
MAN_0043,training_tfexample.tfrecord-00003-of-01000#231,train
MAN_0044,training_tfexample.tfrecord-00003-of-01000#250,train
MAN_0045,training_tfexample.tfrecord-00003-of-01000#295,train
MAN_0046,training_tfexample.tfrecord-00003-of-01000#315,train
MAN_0047,training_tfexample.tfrecord-00003-of-01000#331,train
MAN_0048,training_tfexample.tfrecord-00003-of-01000#345,validation
MAN_0049,training_tfexample.tfrecord-00003-of-01000#359,train
MAN_0050,training_tfexample.tfrecord-00003-of-01000#381,train
MAN_0051,training_tfexample.tfrecord-00003-of-01000#389,train
MAN_0052,training_tfexample.tfrecord-00003-of-01000#389,train
MAN_0053,training_tfexample.tfrecord-00003-of-01000#474,validation
MAN_0054,training_tfexample.tfrecord-00004-of-01000#62,train
MAN_0055,training_tfexample.tfrecord-00004-of-01000#62,train
MAN_0056,training_tfexample.tfrecord-00004-of-01000#87,train
MAN_0057,training_tfexample.tfrecord-00004-of-01000#100,train
MAN_0058,training_tfexample.tfrecord-00004-of-01000#128,train
MAN_0059,training_tfexample.tfrecord-00004-of-01000#150,train
MAN_0060,training_tfexample.tfrecord-00004-of-01000#156,validation
MAN_0061,training_tfexample.tfrecord-00004-of-01000#163,validation
MAN_0062,training_tfexample.tfrecord-00004-of-01000#168,train
MAN_0063,training_tfexample.tfrecord-00004-of-01000#168,train
MAN_0064,training_tfexample.tfrecord-00004-of-01000#168,train
MAN_0065,training_tfexample.tfrecord-00004-of-01000#171,train
MAN_0066,training_tfexample.tfrecord-00004-of-01000#174,train
MAN_0067,training_tfexample.tfrecord-00004-of-01000#226,train
MAN_0068,training_tfexample.tfrecord-00004-of-01000#234,train
