step_index,ego_x,ego_y,ego_yaw,ego_speed_mps,active_source_lane_id,active_target_lane_id,downstream_status,intervention_rate,terminated,truncated,termination_reason
0,-2951.35693359375,-2444.2880859375,-3.1364493370056152,12.523916255259794,618,623,None,0.0,False,False,None
1,-2952.609130859375,-2444.292236328125,-3.1352996826171875,12.519645633058355,618,623,OK,0.0,False,False,none
2,-2953.860595703125,-2444.300048828125,-3.1323752403259277,12.512176835039076,618,623,OK,0.0,False,False,none
3,-2955.111328125,-2444.3115234375,-3.1371471881866455,12.501064800398535,618,623,OK,0.0,False,False,none
4,-2956.36083984375,-2444.317138671875,-3.1380066871643066,12.488967131892922,618,623,OK,0.0,False,False,none
5,-2957.60888671875,-2444.321533203125,-3.1391656398773193,12.475893524962704,618,623,OK,0.0,False,False,none
6,-2958.855712890625,-2444.324462890625,-3.134378671646118,12.463156750346096,618,623,OK,0.0,False,False,none
7,-2960.1015625,-2444.33349609375,-3.1319656372070312,12.452279148554803,618,623,OK,0.0,False,False,none
8,-2961.34619140625,-2444.345458984375,-3.140702724456787,12.441153684468325,618,623,OK,0.0,False,False,none
9,-2962.58984375,-2444.3466796875,-3.1367075443267822,12.429543032796456,618,623,OK,0.0,False,False,none
10,-2963.832275390625,-2444.352783203125,-3.13520884513855,12.419656144461694,618,623,OK,0.0,False,False,none
11,-2965.07373046875,-2444.360595703125,-3.1383025646209717,12.410033636121442,618,623,OK,0.0,False,False,none
12,-2966.314208984375,-2444.36474609375,-3.1388626098632812,12.401363810951748,618,623,OK,0.0,False,False,none
13,-2967.553955078125,-2444.3681640625,3.1400959491729736,12.393997722986809,618,623,OK,0.0,False,False,none
14,-2968.793212890625,-2444.3662109375,3.1394879817962646,12.387722749087736,618,623,OK,0.0,False,False,none
15,-2970.03173828125,-2444.363525390625,3.140864610671997,12.382151070558692,618,623,OK,0.0,False,False,none
16,-2971.269775390625,-2444.362548828125,-3.1411917209625244,12.378028910819847,618,623,OK,0.0,False,False,none
17,-2972.50732421875,-2444.363037109375,-3.139559745788574,12.375061810914106,618,623,OK,0.0,False,False,none
18,-2973.744873046875,-2444.365478515625,-3.1368658542633057,12.373796411551501,618,623,OK,0.0,False,False,none
19,-2974.982177734375,-2444.371337890625,-3.1400294303894043,12.371677256016824,618,623,OK,0.0,False,False,none
20,-2976.21923828125,-2444.373291015625,3.1413800716400146,12.36971310909021,618,623,OK,0.0,False,False,none
21,-2977.456298828125,-2444.373046875,3.140207529067993,12.368854943866552,618,623,OK,0.0,False,False,none
22,-2978.693115234375,-2444.371337890625,3.1398746967315674,12.368409288895117,618,623,OK,0.0,False,False,none
23,-2979.929931640625,-2444.369140625,3.1388332843780518,12.36823022254647,618,623,OK,0.0,False,False,none
24,-2981.166748046875,-2444.36572265625,3.1373846530914307,12.368164846664015,618,623,OK,0.0,False,False,none
25,-2982.403564453125,-2444.360595703125,3.1358110904693604,12.36925961670616,618,623,OK,0.0,False,False,none
26,-2983.640380859375,-2444.353515625,3.1354963779449463,12.371099519134546,618,623,OK,0.0,False,False,none
27,-2984.87744140625,-2444.345947265625,3.1366536617279053,12.372672307426997,618,623,OK,0.0,False,False,none
28,-2986.11474609375,-2444.33984375,3.1373541355133057,12.374782138901514,618,623,OK,0.0,False,False,none
29,-2987.352294921875,-2444.334716796875,3.1380937099456787,12.377203411946608,618,623,OK,0.0,False,False,none
30,-2988.59033203125,-2444.330322265625,3.132721185684204,12.380696164538787,618,623,OK,0.0,False,False,none
31,-2989.82861328125,-2444.3193359375,3.1339123249053955,12.383749945698597,618,623,OK,0.0,False,False,none
32,-2991.067138671875,-2444.309814453125,3.134239912033081,12.387423623574309,618,623,OK,0.0,False,False,none
33,-2992.30615234375,-2444.30078125,3.134582281112671,12.39171818486758,618,623,OK,0.0,False,False,none
34,-2993.545654296875,-2444.2919921875,3.1320345401763916,12.396513709433368,618,623,OK,0.0,False,False,none
35,-2994.785400390625,-2444.280029296875,3.132312059402466,12.402136835685592,618,623,OK,0.0,False,False,none
36,-2996.02587890625,-2444.2685546875,3.1328117847442627,12.408368682090677,618,623,OK,0.0,False,False,none
37,-2997.266845703125,-2444.257568359375,3.1391756534576416,12.41515543511394,618,623,OK,0.0,False,False,none
38,-2998.508544921875,-2444.254638671875,-3.1274702548980713,12.422176270337156,618,623,OK,0.0,False,False,none
39,-2999.751220703125,-2444.272216796875,-3.1182456016540527,12.429793398676317,618,623,OK,0.0,False,False,none
40,-3000.994384765625,-2444.30126953125,-3.1111574172973633,12.438548386948732,618,623,OK,0.0,False,False,none
41,-3002.238037109375,-2444.339111328125,-3.1058990955352783,12.447447299156954,623,608,OK,0.0,False,False,none
