kind,step_or_sample_index,elapsed_s,x,y
planned,0,0.0,-3002.238037109375,-2444.339111328125
planned,1,0.1,-3003.48226997633,-2444.383387588557
planned,2,0.2,-3004.7281492273532,-2444.426851341082
planned,3,0.30000000000000004,-3005.9772159259473,-2444.468822097711
planned,4,0.4,-3007.2308961056992,-2444.5087548175584
planned,5,0.5,-3008.490500867589,-2444.546230477293
planned,6,0.6000000000000001,-3009.757226477295,-2444.580946641586
planned,7,0.7000000000000001,-3011.0321544625026,-2444.6127080335577
planned,8,0.8,-3012.3162517102114,-2444.64141710523
planned,9,0.9,-3013.6103705640417,-2444.6670646079756
planned,10,1.0,-3014.915248921544,-2444.6897201629604
planned,11,1.1,-3016.2315103315045,-2444.709522831601
planned,12,1.2000000000000002,-3017.559664091253,-2444.7266716860076
planned,13,1.3,-3018.900105343971,-2444.741416379434
planned,14,1.4000000000000001,-3020.2531152609804,-2444.754047717606
planned,15,1.5,-3021.6188632711887,-2444.7648857317376
planned,16,1.6,-3022.9974103797294,-2444.774116052254
planned,17,1.7000000000000002,-3024.3886860724388,-2444.78206251235
planned,18,1.8,-3025.792513656666,-2444.7889495464046
planned,19,1.9000000000000001,-3027.2086008399497,-2444.7954606181024
planned,20,2.0,-3028.6365604467805,-2444.8018486608225
planned,21,2.1,-3030.075871511582,-2444.808242958677
planned,22,2.2,-3031.5259020759117,-2444.8149495542916
planned,23,2.3000000000000003,-3032.985915328398,-2444.8225164118057
planned,24,2.4000000000000004,-3034.455059170498,-2444.830824240064
planned,25,2.5,-3035.932363477882,-2444.8400857257493
planned,26,2.6,-3037.4167510298516,-2444.8503994817384
planned,27,2.7,-3038.9070275687086,-2444.861750184322
planned,28,2.8000000000000003,-3040.4018876423997,-2444.874095350893
planned,29,2.9000000000000004,-3041.8999144118948,-2444.8870403753226
planned,30,3.0,-3043.399576667081,-2444.9002766912918
executed,41,0.0,-3002.238037109375,-2444.339111328125
executed,42,0.1,-3003.48291015625,-2444.383544921875
executed,43,0.2,-3004.729736328125,-2444.42529296875
executed,44,0.30000000000000004,-3005.977783203125,-2444.467529296875
executed,45,0.4,-3007.226806640625,-2444.508544921875
executed,46,0.5,-3008.47607421875,-2444.55615234375
executed,47,0.6000000000000001,-3009.726318359375,-2444.598876953125
executed,48,0.7000000000000001,-3010.97705078125,-2444.643310546875
executed,49,0.8,-3012.228271484375,-2444.685791015625
executed,50,0.9,-3013.480224609375,-2444.724365234375
executed,51,1.0,-3014.732421875,-2444.76806640625
executed,52,1.1,-3015.9853515625,-2444.80810546875
executed,53,1.2000000000000002,-3017.23876953125,-2444.84423828125
executed,54,1.3,-3018.49267578125,-2444.880615234375
executed,55,1.4000000000000001,-3019.747314453125,-2444.91015625
executed,56,1.5,-3021.002685546875,-2444.9384765625
