mode,step_index,ego_x,ego_y
legacy,0,-2951.35693359375,-2444.2880859375
legacy,1,-2952.621826171875,-2444.292236328125
legacy,2,-2953.91015625,-2444.2998046875
legacy,3,-2955.219482421875,-2444.308349609375
legacy,4,-2956.548095703125,-2444.3173828125
legacy,5,-2957.8935546875,-2444.326904296875
legacy,6,-2959.254638671875,-2444.336669921875
legacy,7,-2960.629638671875,-2444.3466796875
legacy,8,-2962.01708984375,-2444.35693359375
legacy,9,-2963.415771484375,-2444.367431640625
legacy,10,-2964.82470703125,-2444.378173828125
legacy,11,-2966.24267578125,-2444.38916015625
legacy,12,-2967.667724609375,-2444.400390625
legacy,13,-2969.09375,-2444.411865234375
legacy,14,-2970.517822265625,-2444.42333984375
legacy,15,-2971.94091796875,-2444.434814453125
legacy,16,-2973.363037109375,-2444.4462890625
legacy,17,-2974.783935546875,-2444.45751953125
legacy,18,-2976.203125,-2444.46826171875
legacy,19,-2977.62109375,-2444.478515625
legacy,20,-2979.037353515625,-2444.488037109375
legacy,21,-2980.454345703125,-2444.496826171875
legacy,22,-2981.87060546875,-2444.50439453125
legacy,23,-2983.286376953125,-2444.5107421875
legacy,24,-2984.704345703125,-2444.515380859375
legacy,25,-2986.11865234375,-2444.518310546875
legacy,26,-2987.524169921875,-2444.51904296875
legacy,27,-2988.9228515625,-2444.517578125
legacy,28,-2990.317626953125,-2444.513427734375
legacy,29,-2991.70947265625,-2444.506103515625
legacy,30,-2993.09912109375,-2444.495361328125
legacy,31,-2994.48095703125,-2444.643310546875
legacy,32,-2995.859130859375,-2444.830322265625
legacy,33,-2997.250732421875,-2444.871337890625
legacy,34,-2998.642822265625,-2444.870849609375
legacy,35,-3000.035400390625,-2444.84716796875
legacy,36,-3001.429443359375,-2444.811767578125
legacy,37,-3002.825439453125,-2444.774169921875
legacy,38,-3004.2255859375,-2444.738525390625
legacy,39,-3005.63134765625,-2444.711669921875
legacy,40,-3007.040771484375,-2444.6923828125
legacy,41,-3008.453125,-2444.679931640625
legacy,42,-3009.869384765625,-2444.67333984375
legacy,43,-3011.28857421875,-2444.671875
legacy,44,-3012.709228515625,-2444.6748046875
legacy,45,-3014.130859375,-2444.68115234375
legacy,46,-3015.553955078125,-2444.68994140625
legacy,47,-3016.966064453125,-2444.490234375
legacy,48,-3018.3720703125,-2444.228271484375
legacy,49,-3019.803955078125,-2444.181884765625
legacy,50,-3021.237060546875,-2444.205810546875
legacy,51,-3022.6708984375,-2444.24609375
legacy,52,-3024.1064453125,-2444.29541015625
legacy,53,-3025.543212890625,-2444.3486328125
legacy,54,-3026.9814453125,-2444.40283203125
frenet_mpc,0,-2951.35693359375,-2444.2880859375
frenet_mpc,1,-2952.609130859375,-2444.292236328125
frenet_mpc,2,-2953.860595703125,-2444.300048828125
frenet_mpc,3,-2955.111328125,-2444.3115234375
frenet_mpc,4,-2956.36083984375,-2444.317138671875
frenet_mpc,5,-2957.60888671875,-2444.321533203125
frenet_mpc,6,-2958.855712890625,-2444.324462890625
frenet_mpc,7,-2960.1015625,-2444.33349609375
frenet_mpc,8,-2961.34619140625,-2444.345458984375
frenet_mpc,9,-2962.58984375,-2444.3466796875
frenet_mpc,10,-2963.832275390625,-2444.352783203125
frenet_mpc,11,-2965.07373046875,-2444.360595703125
frenet_mpc,12,-2966.314208984375,-2444.36474609375
frenet_mpc,13,-2967.553955078125,-2444.3681640625
frenet_mpc,14,-2968.793212890625,-2444.3662109375
frenet_mpc,15,-2970.03173828125,-2444.363525390625
frenet_mpc,16,-2971.269775390625,-2444.362548828125
frenet_mpc,17,-2972.50732421875,-2444.363037109375
frenet_mpc,18,-2973.744873046875,-2444.365478515625
frenet_mpc,19,-2974.982177734375,-2444.371337890625
frenet_mpc,20,-2976.21923828125,-2444.373291015625
frenet_mpc,21,-2977.456298828125,-2444.373046875
frenet_mpc,22,-2978.693115234375,-2444.371337890625
frenet_mpc,23,-2979.929931640625,-2444.369140625
frenet_mpc,24,-2981.166748046875,-2444.36572265625
frenet_mpc,25,-2982.403564453125,-2444.360595703125
frenet_mpc,26,-2983.640380859375,-2444.353515625
frenet_mpc,27,-2984.87744140625,-2444.345947265625
frenet_mpc,28,-2986.11474609375,-2444.33984375
frenet_mpc,29,-2987.352294921875,-2444.334716796875
frenet_mpc,30,-2988.59033203125,-2444.330322265625
frenet_mpc,31,-2989.82861328125,-2444.3193359375
frenet_mpc,32,-2991.067138671875,-2444.309814453125
frenet_mpc,33,-2992.30615234375,-2444.30078125
frenet_mpc,34,-2993.545654296875,-2444.2919921875
frenet_mpc,35,-2994.785400390625,-2444.280029296875
frenet_mpc,36,-2996.02587890625,-2444.2685546875
frenet_mpc,37,-2997.266845703125,-2444.257568359375
frenet_mpc,38,-2998.508544921875,-2444.254638671875
