maneuver_id,split,scene_key,source_shard,record_index,is_chained,lane_chain_length,steps_executed,termination_reason,terminated,truncated,exception,nan_or_inf_observed,nan_or_inf_detail,downstream_status_counts,chain_advanced_count,final_active_transition_index,transition_index_out_of_bounds,success,collision,offroad,wall_time_s
MAN_0001,train,training_tfexample.tfrecord-00000-of-01000#12,training_tfexample.tfrecord-00000-of-01000,12,False,2,18,success,True,False,,False,,"{""OK"": 18, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,18.47075927699916
MAN_0002,train,training_tfexample.tfrecord-00000-of-01000#18,training_tfexample.tfrecord-00000-of-01000,18,False,2,15,success,True,False,,False,,"{""OK"": 8, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 7, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,8.878114211023785
MAN_0003,train,training_tfexample.tfrecord-00000-of-01000#20,training_tfexample.tfrecord-00000-of-01000,20,False,2,85,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 71, ""COLLISION_BLOCKED"": 14, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,42.49578501802171
MAN_0004,train,training_tfexample.tfrecord-00000-of-01000#40,training_tfexample.tfrecord-00000-of-01000,40,False,2,17,success,True,False,,False,,"{""OK"": 17, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,11.719540188962128
MAN_0005,train,training_tfexample.tfrecord-00000-of-01000#44,training_tfexample.tfrecord-00000-of-01000,44,False,2,27,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 23, ""COLLISION_BLOCKED"": 4, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,12.426603774016257
MAN_0006,train,training_tfexample.tfrecord-00000-of-01000#62,training_tfexample.tfrecord-00000-of-01000,62,False,2,21,success,True,False,,False,,"{""OK"": 21, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,14.34534145402722
MAN_0007,train,training_tfexample.tfrecord-00000-of-01000#99,training_tfexample.tfrecord-00000-of-01000,99,False,2,15,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 15, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,8.013722748029977
MAN_0010,train,training_tfexample.tfrecord-00000-of-01000#132,training_tfexample.tfrecord-00000-of-01000,132,False,2,21,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 21, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,10.84598567703506
MAN_0013,train,training_tfexample.tfrecord-00000-of-01000#215,training_tfexample.tfrecord-00000-of-01000,215,False,2,38,success,True,False,,False,,"{""OK"": 37, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 1, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,27.30622891697567
MAN_0015,train,training_tfexample.tfrecord-00000-of-01000#391,training_tfexample.tfrecord-00000-of-01000,391,False,2,23,success,True,False,,False,,"{""OK"": 23, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,18.32708492403617
MAN_0016,train,training_tfexample.tfrecord-00001-of-01000#34,training_tfexample.tfrecord-00001-of-01000,34,False,2,26,success,True,False,,False,,"{""OK"": 26, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,17.382769934018143
MAN_0018,train,training_tfexample.tfrecord-00001-of-01000#82,training_tfexample.tfrecord-00001-of-01000,82,False,2,41,success,True,False,,False,,"{""OK"": 41, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,28.106114880996756
MAN_0020,train,training_tfexample.tfrecord-00001-of-01000#193,training_tfexample.tfrecord-00001-of-01000,193,False,2,13,success,True,False,,False,,"{""OK"": 13, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,10.526501710992306
MAN_0022,train,training_tfexample.tfrecord-00001-of-01000#288,training_tfexample.tfrecord-00001-of-01000,288,False,2,28,success,True,False,,False,,"{""OK"": 28, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,22.308321010961663
MAN_0023,train,training_tfexample.tfrecord-00001-of-01000#344,training_tfexample.tfrecord-00001-of-01000,344,False,2,90,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 90, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,45.41236005502287
MAN_0025,train,training_tfexample.tfrecord-00001-of-01000#357,training_tfexample.tfrecord-00001-of-01000,357,False,2,29,failure_collision,True,False,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 22, ""COLLISION_BLOCKED"": 7, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,True,False,17.225266410037875
MAN_0026,train,training_tfexample.tfrecord-00002-of-01000#22,training_tfexample.tfrecord-00002-of-01000,22,False,2,12,success,True,False,,False,,"{""OK"": 12, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,8.622165224980563
MAN_0028,train,training_tfexample.tfrecord-00002-of-01000#146,training_tfexample.tfrecord-00002-of-01000,146,False,2,13,success,True,False,,False,,"{""OK"": 11, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 2, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,9.652038113970775
MAN_0033,train,training_tfexample.tfrecord-00002-of-01000#359,training_tfexample.tfrecord-00002-of-01000,359,False,2,38,success,True,False,,False,,"{""OK"": 38, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,27.615611069020815
MAN_0035,train,training_tfexample.tfrecord-00002-of-01000#479,training_tfexample.tfrecord-00002-of-01000,479,False,2,13,success,True,False,,False,,"{""OK"": 13, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,13.405705989978742
MAN_0036,train,training_tfexample.tfrecord-00002-of-01000#499,training_tfexample.tfrecord-00002-of-01000,499,False,2,40,truncation_horizon,False,True,,False,,"{""OK"": 21, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 13, ""COLLISION_BLOCKED"": 6, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,27.753838094999082
MAN_0037,train,training_tfexample.tfrecord-00003-of-01000#86,training_tfexample.tfrecord-00003-of-01000,86,False,2,61,success,True,False,,False,,"{""OK"": 56, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 5, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,44.780707973986864
MAN_0038,train,training_tfexample.tfrecord-00003-of-01000#120,training_tfexample.tfrecord-00003-of-01000,120,False,2,17,success,True,False,,False,,"{""OK"": 11, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 6, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,12.221182471024804
MAN_0042,train,training_tfexample.tfrecord-00003-of-01000#227,training_tfexample.tfrecord-00003-of-01000,227,False,2,17,success,True,False,,False,,"{""OK"": 15, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 2, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,13.141129392955918
MAN_0043,train,training_tfexample.tfrecord-00003-of-01000#231,training_tfexample.tfrecord-00003-of-01000,231,False,2,34,success,True,False,,False,,"{""OK"": 28, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 6, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,22.91087850299664
MAN_0044,train,training_tfexample.tfrecord-00003-of-01000#250,training_tfexample.tfrecord-00003-of-01000,250,False,2,90,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 90, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,False,47.497242749959696
MAN_0045,train,training_tfexample.tfrecord-00003-of-01000#295,training_tfexample.tfrecord-00003-of-01000,295,True,3,71,truncation_horizon,False,True,,False,,"{""OK"": 0, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 47, ""COLLISION_BLOCKED"": 24, ""CONTROLLER_FAILURE"": 0}",1,1,False,False,False,False,41.584638732951134
MAN_0046,train,training_tfexample.tfrecord-00003-of-01000#315,training_tfexample.tfrecord-00003-of-01000,315,False,2,1,failure_offroad,True,False,,False,,"{""OK"": 1, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 0, ""CONTROLLER_FAILURE"": 0}",0,0,False,False,False,True,3.9417847730219364
MAN_0047,train,training_tfexample.tfrecord-00003-of-01000#331,training_tfexample.tfrecord-00003-of-01000,331,False,2,28,success,True,False,,False,,"{""OK"": 11, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 0, ""COLLISION_BLOCKED"": 17, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,19.566005967964884
MAN_0049,train,training_tfexample.tfrecord-00003-of-01000#359,training_tfexample.tfrecord-00003-of-01000,359,False,2,22,success,True,False,,False,,"{""OK"": 13, ""INVALID_REFERENCE"": 0, ""PLANNER_INFEASIBLE"": 1, ""COLLISION_BLOCKED"": 8, ""CONTROLLER_FAILURE"": 0}",0,0,False,True,False,False,16.262833686021622
